"id","latitude","longitude","type","brand","taken","pickedup","imageUri","ByteArrayImage","X"
"90","'8E5FD431-0814-4BE7-8E67-C6782DE154AD'",52.365277,4.931944," Kleine PET-fles"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_204121_16442331904_l.jpg'"," ''",NA
"91","'3043E43A-ED94-4BE3-8843-73E53F8D3679'",52.363888,4.930833," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_204128_17064776335_l.jpg'"," ''",NA
"92","'8EA02B08-DD1E-4386-B6B7-F649624F0D75'",52.363888,4.930833," Kartonnen pakje"," Taksi"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_204210_16876977748_l.jpg'"," ''",NA
"93","'2C718B52-5841-4053-BD02-C7DBCFAB89B8'",52.363888,4.930833," Aluminium blikje"," Fanta"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_204258_16876976558_l.jpg'"," ''",NA
"94","'C86AFF3E-5561-4C35-840D-711C0BF5C57C'",52.363055,4.931388," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_204404_16877227920_l.jpg'"," ''",NA
"95","'4068181C-6DAB-40E9-B14C-D25D624D9157'",52.363055,4.931388," Kleine PET-fles"," AA"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_204616_17064771595_l.jpg'"," ''",NA
"96","'4C6B8FD9-6EBC-400D-BF52-1C4E17EF94CA'",52.363666,4.938177," Aluminium blikje"," AH"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150405_094225_16444655413_l.jpg'"," ''",NA
"97","'C3721A39-F1DF-4EF2-BAC2-FD70B921913B'",52.363666,4.938177," Kleine PET-fles"," AA"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150405_131326_17064809715_l.jpg'"," ''",NA
"98","'5AD16592-AC77-46D1-B20C-E55A626B7DC2'",52.363302,4.935338," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150405_131331_17064026921_l.jpg'"," ''",NA
"99","'AC345B15-41EB-4168-9915-1BCECE7342F4'",52.363302,4.935338," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150405_140920_16442359554_l.jpg'"," ''",NA
"100","'59677315-F87E-4F36-9AA1-0DBF3E781A95'",52.363083,4.9315," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150405_140935_16444647443_l.jpg'"," ''",NA
"101","'05072C0B-485E-4275-8A53-FDB6AF6A9B7C'",52.362938,4.931561," Kleine PET-fles"," Hero"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150405_141041_16877003828_l.jpg'"," ''",NA
